from_id,from_login,from_name,to_id,to_login,to_name,followed_at,closure,follow_total,triad_set,k-connected,total-connected
647659336,awawaaaawaaawawa,awawaaaawaaawawa,24687283,jorbs,jorbs,2021-02-08T15:35:26Z,0,3,[],[],0
591745941,pswpsw123,pswpsw123,24687283,jorbs,jorbs,2021-02-08T14:45:14Z,0,14,[],[],0
139407577,aswroth,aswroth,24687283,jorbs,jorbs,2021-02-08T14:19:13Z,0,17,[],[],0
69701266,ponpondog,ponpondog,24687283,jorbs,jorbs,2021-02-08T14:05:18Z,1,21,['KenseiTV'],[],0
49864498,frostbolter4,frostbolter4,24687283,jorbs,jorbs,2021-02-08T11:22:07Z,1,53,"['TidesofTime', 'dogdog', 'Savjz', 'BoarControlHS']","['dogdog', 'Amaz', 'BoarControlHS', 'Dyrus', 'imaqtpie', 'Pobelter', 'TidesofTime', 'LCS', 'Scarra']",9
49791213,haro_keetay,Haro_keetay,24687283,jorbs,jorbs,2021-02-08T10:01:28Z,1,165,"['AdmiralBahroo', 'Arvius', 'Kayuun', 'DansGaming', 'SLEEPCYCLES', 'Educated_Collins', 'sunglitters', 'Raeyei', 'Lethalfrag', 'dogdog', 'Celerity', 'BrainTM']","['SLEEPCYCLES', 'dogdog', 'Lethalfrag', 'Arvius', 'sunglitters', 'nl_Kripp', 'CeeCee_Lia', 'Celerity', 'AdmiralBahroo', 'Raeyei', 'Educated_Collins', 'BrainTM', 'GMHikaru', 'pokimane']",14
92348848,eastfarm,Eastfarm,24687283,jorbs,jorbs,2021-02-08T09:54:34Z,1,42,"['DavieTheWhaley', 'Quin69']","['Quin69', 'AOC']",2
75507031,old_fat_furro,old_fat_furro,24687283,jorbs,jorbs,2021-02-08T09:52:20Z,1,123,"['Shaindralah', 'mcadryh', 'KarmaDoc']","['imaqtpie', 'Becca', 'LCK', 'LCS']",4
128590813,hositala,hositala,24687283,jorbs,jorbs,2021-02-08T09:51:32Z,1,203,"['Savjz', 'Nerchio', 'iNcontroLTV', 'itsHafu', 'DansGaming']","['itsHafu', 'keanelol', 'iNcontroLTV', 'TastelessTV', 'Riot Games', 'LCS', 'Scarra']",7
28838400,mitkin,Mitkin,24687283,jorbs,jorbs,2021-02-08T09:41:28Z,1,256,"['Doctor__No', 'dogdog']","['dogdog', 'LEC', 'LCK', 'superjj102', 'Riot Games', 'LCS']",6
63227114,krichin_o3o,krichin_o3o,24687283,jorbs,jorbs,2021-02-08T09:19:15Z,1,48,"['itsHafu', 'Blaustoise', '5uppp', 'dogdog', 'Wolfabelle', 'DumbDog']","['itsHafu', 'Wolfabelle', 'dogdog', 'AOC', 'Dyrus', 'DumbDog', '5uppp', 'pokimane', 'Riot Games', 'Scarra']",10
521088249,bloodlordraven,bloodlordraven,24687283,jorbs,jorbs,2021-02-08T09:09:52Z,1,14,['AdmiralBahroo'],['AdmiralBahroo'],1
85785633,madisismadas,madisismadas,24687283,jorbs,jorbs,2021-02-08T09:02:50Z,0,33,[],['AustinShow'],1
161803461,relaxedroman,RelaxedRoman,24687283,jorbs,jorbs,2021-02-08T08:52:12Z,1,96,"['itsHafu', '5uppp', 'Skadj', 'Deansocool', 'Yetiapocalypse', 'DumbDog', 'dakotaz']","['Yetiapocalypse', 'itsHafu', 'Trainwreckstv', 'dakotaz', 'DumbDog', '5uppp', 'pokimane', 'Riot Games', 'AustinShow', 'Scarra']",10
42974375,raizontr,RaizonTR,24687283,jorbs,jorbs,2021-02-08T08:34:14Z,1,290,"['bmkibler', 'Savjz', 'itsHafu', 'AsmodaiTV', 'dogdog', 'BasarCos', 'Alliestrasza', 'FabulousN', 'BoarControlHS']","['itsHafu', 'dogdog', 'nl_Kripp', 'AsmodaiTV', 'Amaz', 'LCK', 'BoarControlHS', 'bmkibler', 'imaqtpie', 'GMHikaru', 'Pobelter', 'Alliestrasza', 'pokimane', 'Riot Games', 'LCS', 'chessbrah', 'LexVeldhuis']",17
627669187,midior2020,midior2020,24687283,jorbs,jorbs,2021-02-08T08:30:00Z,0,2,[],[],0
130477934,splenetic_hs,Splenetic_HS,24687283,jorbs,jorbs,2021-02-08T08:29:28Z,1,88,"['AsmodaiTV', 'dogdog', 'Savjz', 'bmkibler', 'Alliestrasza', 'Arvius', 'Educated_Collins', 'BoarControlHS', 'FilthyRobot', 'Shadybunny', 'Grimfan', 'LSV', 'Slysssa', 'TidesofTime', 'itsHafu']","['itsHafu', 'dogdog', 'Arvius', 'nl_Kripp', 'AsmodaiTV', 'Slysssa', 'Magic', 'BoarControlHS', 'Educated_Collins', 'twlevewinsHS', 'Shadybunny', 'Alliestrasza', 'TidesofTime', 'LSV', 'bmkibler', 'FilthyRobot']",16
62096162,thatunderaverageplayer,ThatUnderAveragePlayer,24687283,jorbs,jorbs,2021-02-08T08:08:31Z,1,500,"['TsunamiEX', 'DiaTech', 'itsHafu', 'bmkibler', 'AdmiralBahroo', 'Esotel1', 'Savjz', 'dogdog', 'TidesofTime', 'DansGaming', 'Draskyl', 'sips_', 'Alyska', 'Quin69', 'kevinjordan']","['ESL_PUBG', 'Aphromoo', 'AdmiralBahroo', 'superjj102', 'Draskyl', 'Scarra', 'Quin69', 'dogdog', 'nl_Kripp', 'Dyrus', 'imaqtpie', 'pokimane', 'LCS', 'Riot Games', 'bmkibler', 'sips_', 'itsHafu', 'Amaz', 'GMHikaru', 'TidesofTime']",20
86972205,chill_dj4k,Chill_DJ4K,24687283,jorbs,jorbs,2021-02-08T08:02:32Z,1,500,"['Kronovi', 'DrumPunk100', 'ster', 'Rocky', 'dakotaz', 'itsHafu', 'DansGaming', 'AdmiralBahroo', 'emilyywang', 'dogdog', 'geenelly', 'fuslie']","['itsHafu', 'sjokz', 'dogdog', 'geenelly', 'keanelol', 'AdmiralBahroo', 'dakotaz', 'fuslie', 'TaliaMar', 'Pobelter', 'pokimane', 'TeaLex', 'LCS']",13
195599774,impulsevita,ImpulseVita,24687283,jorbs,jorbs,2021-02-08T07:38:36Z,1,230,"['dakotaz', 'Risker', 'Kayuun', 'Naturesbf', 'itsHafu', 'emilyywang']","['Svennoss', 'itsHafu', 'DeliciousMilkGG', 'Naturesbf', 'keanelol', 'dakotaz', 'Doublelift', 'pokimane', 'Riot Games', 'Becca', 'Scarra']",11
210793303,stoopsyshoots,stoopsyshoots,24687283,jorbs,jorbs,2021-02-08T07:37:27Z,1,214,['dakotaz'],"['dakotaz', 'LCK', 'pokimane', 'Riot Games', 'LCS']",5
145999849,macadamio,macadamio,24687283,jorbs,jorbs,2021-02-08T07:30:59Z,1,53,['s2jfalcon'],[],0
78679518,winter576,Winter576,24687283,jorbs,jorbs,2021-02-08T07:29:47Z,1,55,"['Tijoe', 'Celerity']","['nl_Kripp', 'Amaz', 'Celerity']",3
29893349,z1lv3,z1lv3,24687283,jorbs,jorbs,2021-02-08T07:23:35Z,1,29,"['Arumba07', 'DansGaming', 'TerrenceMHS']","['LEC', 'Arumba07', 'Amaz', 'Florryworry', 'LCK', 'Riot Games', 'LCS']",7
245855092,n0ted117,n0ted117,24687283,jorbs,jorbs,2021-02-08T07:11:30Z,1,60,"['aliensrock', 'FrostPrime_']",[],0
125091196,myrandhir,myrandhir,24687283,jorbs,jorbs,2021-02-08T06:52:06Z,1,98,"['Smight', 'Haughington', 'SLEEPCYCLES', 'AdmiralBahroo', 'ProblemsIRL', 'Celerity', 'FilthyRobot', 'JankyJexal', 'haelian', 'Vorime', 'Wriste13', 'courtenberry']","['SLEEPCYCLES', 'Celerity', 'AdmiralBahroo', 'FilthyRobot']",4
26792446,canaryumbrella,CanaryUmbrella,24687283,jorbs,jorbs,2021-02-08T06:23:24Z,0,1,[],[],0
137236749,lolcryomaniac,lolcryomaniac,24687283,jorbs,jorbs,2021-02-08T06:11:46Z,1,29,['emilyywang'],['LCS'],1
152073126,roku40573,roku40573,24687283,jorbs,jorbs,2021-02-08T06:08:31Z,1,17,['AsmodaiTV'],"['CeeCee_Lia', 'AsmodaiTV']",2
47297457,mcspacky,Mcspacky,24687283,jorbs,jorbs,2021-02-08T05:50:22Z,1,133,"['PleaseWelcome', 'CalebDMTG', 'Quin69']","['Quin69', 'CalebDMTG', 'NASA', 'nl_Kripp', 'Magic', 'LCK', 'Warhammer', 'Riot Games']",8
502875626,bardokutv,BardokuTV,24687283,jorbs,jorbs,2021-02-08T05:43:01Z,0,39,[],[],0
74854651,jaunty411,Jaunty411,24687283,jorbs,jorbs,2021-02-08T05:31:49Z,1,202,"['Astrogation7', 'itsHafu', 'Blaustoise', 'emilyywang', 'Scott_Seiver']","['Aphromoo', 'keanelol', 'LCK', 'superjj102', 'Becca', 'runitoncepoker', 'Scarra', 'chess24', 'sjokz', 'LEC', 'DeliciousMilkGG', 'Magic', 'LCS', 'LexVeldhuis', 'Scott_Seiver', 'philgalfond', 'AOC', 'Riot Games', 'itsHafu', 'Chess']",20
157069049,lowkeyhuy,lowkeyhuy,24687283,jorbs,jorbs,2021-02-08T05:24:04Z,1,77,"['Kayuun', 'itsHafu', 'Naturesbf']","['itsHafu', 'Naturesbf', 'keanelol', 'pokimane', 'Becca', 'Scarra']",6
176138624,automationfor,automationfor,24687283,jorbs,jorbs,2021-02-08T05:21:04Z,1,174,"['Nomakk', 'SLEEPCYCLES', 'Arumba07', 'Lethalfrag', 'cl0wnt0wn', 'Disnof', 'KrillinTheKilla', 'PekinWoof', 'AsmodaiTV', 'Sinvicta', 'itsHafu']","['itsHafu', 'SLEEPCYCLES', 'sjokz', 'LEC', 'Disnof', 'Lethalfrag', 'Arumba07', 'Aphromoo', 'AsmodaiTV', 'AOC', 'LCK', 'Scarra', 'chocoTaco', 'Pobelter', 'JayMewes', 'Riot Games', 'LCS', 'desertbus']",18
93876149,dblbug,dblbug,24687283,jorbs,jorbs,2021-02-08T05:16:14Z,0,30,[],['RaizQT'],1
169838151,hardhittaah,HardHittaaH,24687283,jorbs,jorbs,2021-02-08T05:13:55Z,1,464,"['AIRWISBTS', 'Naturesbf', 'emilyywang']","['Naturesbf', 'Trainwreckstv', 'pokimane', 'Becca', 'AustinShow', 'LexVeldhuis']",6
86359107,somnochrome,somnochrome,24687283,jorbs,jorbs,2021-02-08T05:02:11Z,1,77,"['DumbDog', 'dogdog', 'itsHafu']","['itsHafu', 'dogdog', 'Aphromoo', 'Doublelift', 'AOC', 'Limmy', 'DumbDog', 'GMHikaru', 'superjj102', 'Riot Games', 'LCS', 'Scarra']",12
